date,chain,score,nodes,price,block_height
2026-08-07,Bitcoin,83.7,23883,64189.0,961345
2026-08-07,Ethereum,87.15,91885,1899.61,25699211
2026-08-07,Polygon,98.8,100,0.07505,54500000
