date,chain,score,nodes,price,block_height
2026-08-05,Bitcoin,83.7,23883,64202.0,961079
2026-08-05,Ethereum,87.15,91885,1870.56,25684847
2026-08-05,Polygon,98.8,100,0.074851,54500000
