date,chain,score,nodes,price,block_height
2026-08-24,Bitcoin,83.7,23883,77576.0,963780
2026-08-24,Ethereum,87.15,91885,2453.22,25821153
2026-08-24,Polygon,98.8,100,0.108786,54500000
