date,chain,score,nodes,price,block_height
2026-08-16,Bitcoin,83.7,23883,63054.0,962640
2026-08-16,Ethereum,87.15,91885,1881.28,25763736
2026-08-16,Polygon,98.8,100,0.075231,54500000
