date,chain,score,nodes,price,block_height
2026-08-26,Bitcoin,83.7,23883,78672.0,964061
2026-08-26,Ethereum,87.15,91885,2450.92,25835500
2026-08-26,Polygon,98.8,100,0.121762,54500000
