date,chain,score,nodes,price,block_height
2026-07-09,Bitcoin,83.7,23883,62176.0,957235
2026-07-09,Ethereum,87.15,91885,1738.69,25491144
2026-07-09,Polygon,98.8,100,0.076375,54500000
