date,chain,score,nodes,price,block_height
2026-07-08,Bitcoin,83.7,23883,63614.0,957099
2026-07-08,Ethereum,87.15,91885,1777.9,25483970
2026-07-08,Polygon,98.8,100,0.077167,54500000
