date,chain,score,nodes,price,block_height
2026-07-23,Bitcoin,83.7,23883,65950.0,959189
2026-07-23,Ethereum,87.15,91885,1928.49,25591535
2026-07-23,Polygon,98.8,100,0.079168,54500000
