date,chain,score,nodes,price,block_height
2026-07-21,Bitcoin,83.7,23883,65185.0,958939
2026-07-21,Ethereum,87.15,91885,1901.71,25577213
2026-07-21,Polygon,98.8,100,0.080398,54500000
