date,chain,score,nodes,price,block_height
2026-07-13,Bitcoin,83.7,23883,63785.0,957771
2026-07-13,Ethereum,87.15,91885,1803.07,25519836
2026-07-13,Polygon,98.8,100,0.080953,54500000
