date,chain,score,nodes,price,block_height
2026-07-16,Bitcoin,83.7,23883,64806.0,958212
2026-07-16,Ethereum,87.15,91885,1920.29,25541349
2026-07-16,Polygon,98.8,100,0.08294,54500000
