date,chain,score,nodes,price,block_height
2026-07-30,Bitcoin,83.7,23883,63953.0,960164
2026-07-30,Ethereum,87.15,91885,1907.17,25641782
2026-07-30,Polygon,98.8,100,0.071802,54500000
