date,chain,score,nodes,price,block_height
2026-06-14,Bitcoin,83.7,23883,64442.0,953563
2026-06-14,Ethereum,87.15,91885,1679.89,25311849
2026-06-14,Polygon,98.8,100,0.075977,54500000
