date,chain,score,nodes,price,block_height
2026-06-13,Bitcoin,83.7,23883,N/A,953436
2026-06-13,Ethereum,87.15,91885,2085.5,24661375
2026-06-13,Polygon,98.8,100,0.85,54500000
2026-06-13,TRON,89.35,27,0.12,83545908
2026-06-13,Dogecoin,66.95,495,0.08,6246309
