date,chain,score,nodes,price,block_height
2026-06-17,Bitcoin,83.7,23883,65665.0,954015
2026-06-17,Ethereum,87.15,91885,1793.41,25333386
2026-06-17,Polygon,98.8,100,0.076448,54500000
