date,chain,score,nodes,price,block_height
2026-06-11,Bitcoin,83.7,23883,N/A,953231
2026-06-11,Ethereum,87.15,91885,2085.5,24661375
2026-06-11,Polygon,98.8,100,0.85,54500000
2026-06-11,TRON,92.14999999999999,27,0.12,83501886
2026-06-11,Dogecoin,66.95,497,0.08,6244208
